TIMESTAMP,AGE,GENDER,COUNTRY,FAMILY_HISTORY,TREATMENT,WORK_INTERFERE,BENEFIT,SEEK_HELP,MENTAL_HEALTH_AFFECT,PHYSICAL_HEALTH_AFFECT
01-01-2024 00:00,52,Female,United States,No,No,Often,No,Don't know,Maybe,Maybe
01-01-2024 00:01,29,Female,Canada,Yes,Yes,No,Don't know,Don't know,No,No
01-01-2024 00:02,52,Other,Australia,Yes,Yes,Rarely,Yes,Yes,No,Yes
01-01-2024 00:03,48,Male,United States,No,No,Never,No,Yes,Yes,No
01-01-2024 00:04,43,Female,United States,No,No,Often,Don't know,No,Maybe,Yes
01-01-2024 00:05,50,Other,India,No,No,Yes,Don't know,Yes,Maybe,No
01-01-2024 00:06,23,Other,United Kingdom,No,No,Often,Don't know,No,Yes,Maybe
01-01-2024 00:07,59,Male,United Kingdom,No,No,Never,Don't know,Don't know,Yes,No
01-01-2024 00:08,53,Male,United States,Yes,Yes,No,No,Yes,Maybe,Yes
01-01-2024 00:09,36,Male,Australia,Yes,Yes,Yes,No,Yes,No,Maybe
01-01-2024 00:10,23,Female,India,Yes,No,Never,No,No,Yes,Maybe
01-01-2024 00:11,34,Male,United Kingdom,No,No,Sometimes,Don't know,No,Yes,No
01-01-2024 00:12,45,Male,United States,No,Yes,No,Yes,Don't know,Yes,No
01-01-2024 00:13,24,Male,United States,Yes,No,Rarely,No,Don't know,Maybe,No
01-01-2024 00:14,42,Female,Australia,No,No,Often,No,No,Yes,No
01-01-2024 00:15,46,Female,United Kingdom,Yes,Yes,Yes,Yes,Don't know,No,Maybe
01-01-2024 00:16,64,Female,United Kingdom,No,No,Rarely,No,No,No,No
01-01-2024 00:17,35,Other,United States,No,No,Rarely,Don't know,Don't know,Yes,No
01-01-2024 00:18,52,Female,Australia,Yes,No,No,No,Don't know,No,Maybe
01-01-2024 00:19,23,Female,Germany,No,Yes,Sometimes,Don't know,No,Maybe,Maybe
01-01-2024 00:20,63,Male,Canada,No,Yes,Yes,Yes,Yes,No,Yes
01-01-2024 00:21,61,Female,Canada,Yes,Yes,No,Yes,Yes,Yes,Yes
01-01-2024 00:22,42,Other,Canada,Yes,Yes,Yes,No,Don't know,No,No
01-01-2024 00:23,44,Other,United States,No,No,No,Don't know,Yes,Maybe,Maybe
01-01-2024 00:24,29,Male,India,No,No,Sometimes,No,No,Yes,Maybe
01-01-2024 00:25,26,Other,Australia,No,Yes,Often,Don't know,Yes,Yes,No
01-01-2024 00:26,60,Male,United Kingdom,No,No,No,No,Yes,No,Yes
01-01-2024 00:27,45,Male,United States,No,No,Often,Yes,Don't know,No,Maybe
01-01-2024 00:28,44,Female,India,No,No,Often,Yes,No,Yes,No
01-01-2024 00:29,56,Male,United Kingdom,Yes,No,Sometimes,Don't know,No,Yes,No
01-01-2024 00:30,50,Female,India,Yes,No,Yes,Yes,Don't know,Maybe,Yes
01-01-2024 00:31,54,Female,Australia,No,No,Often,Yes,Yes,Yes,Maybe
01-01-2024 00:32,56,Male,Canada,No,No,Rarely,Yes,No,No,Maybe
01-01-2024 00:33,32,Female,United Kingdom,Yes,No,Never,Don't know,No,Yes,Yes
01-01-2024 00:34,49,Male,United States,No,Yes,Sometimes,No,Yes,Yes,No
01-01-2024 00:35,44,Female,Canada,Yes,No,Sometimes,Don't know,No,Yes,Maybe
01-01-2024 00:36,62,Female,India,No,No,Sometimes,Don't know,Don't know,Yes,No
01-01-2024 00:37,62,Male,Australia,No,No,Yes,Yes,Yes,No,Maybe
01-01-2024 00:38,56,Female,Germany,Yes,No,Often,No,No,No,No
01-01-2024 00:39,29,Male,Australia,No,Yes,Yes,No,No,No,Yes
01-01-2024 00:40,59,Female,Canada,No,No,No,No,Don't know,Maybe,Maybe
01-01-2024 00:41,39,Male,United Kingdom,No,No,Often,Yes,Don't know,Maybe,Yes
01-01-2024 00:42,45,Female,United States,No,No,Never,Yes,Don't know,Maybe,No
01-01-2024 00:43,61,Male,Canada,No,Yes,Yes,No,No,No,Maybe
01-01-2024 00:44,29,Male,India,No,Yes,Sometimes,Yes,Don't know,Yes,Yes
01-01-2024 00:45,32,Male,United States,No,Yes,Rarely,No,Don't know,Maybe,No
01-01-2024 00:46,20,Female,Germany,No,Yes,Never,No,No,Yes,No
01-01-2024 00:47,43,Female,Australia,No,No,Often,Yes,Yes,Maybe,Yes
01-01-2024 00:48,42,Male,United States,No,Yes,Never,Don't know,Yes,Maybe,Maybe
01-01-2024 00:49,64,Male,United States,No,No,Never,Yes,Don't know,Yes,No
01-01-2024 00:50,51,Male,Australia,No,No,No,Don't know,Don't know,No,Maybe
01-01-2024 00:51,45,Other,India,Yes,Yes,Yes,Yes,Don't know,Yes,No
01-01-2024 00:52,47,Male,Australia,Yes,No,Never,Yes,No,No,No
01-01-2024 00:53,55,Female,United States,No,Yes,No,Yes,Don't know,Maybe,Yes
01-01-2024 00:54,38,Male,United Kingdom,No,No,Never,Yes,Yes,Yes,Yes
01-01-2024 00:55,29,Female,India,Yes,No,Often,No,Don't know,No,No
01-01-2024 00:56,63,Female,Canada,Yes,No,Often,Yes,Don't know,Maybe,Maybe
01-01-2024 00:57,36,Female,India,No,Yes,No,Don't know,Don't know,Yes,No
01-01-2024 00:58,38,Female,Germany,Yes,No,Rarely,No,No,Maybe,Yes
01-01-2024 00:59,37,Female,India,No,No,No,No,Yes,Maybe,Yes
01-01-2024 01:00,47,Male,India,No,No,Never,Yes,Don't know,Yes,No
01-01-2024 01:01,44,Female,United States,No,No,Sometimes,Yes,No,Yes,No
01-01-2024 01:02,41,Female,Canada,Yes,No,Yes,No,Yes,No,Maybe
01-01-2024 01:03,33,Male,Canada,No,Yes,Rarely,Yes,Yes,Yes,No
01-01-2024 01:04,55,Male,Australia,No,Yes,Sometimes,Yes,Don't know,Yes,No
01-01-2024 01:05,43,Female,Canada,No,No,Sometimes,Don't know,Don't know,No,Yes
01-01-2024 01:06,51,Other,United States,No,No,Sometimes,Yes,No,No,No
01-01-2024 01:07,50,Female,Germany,No,Yes,No,Don't know,Yes,Yes,Yes
